,País,Año,Registro,Clasificacion,Clase,Modo_de_acción,Grupo_Químico,I.A.,Marca,Concentración,Grupo_importador,Importador,Aduana,Transporte,País_Origen,País_procedencia,Cantidad,Unidad,CIF_US$,CIF_Q,Precio,Fecha,Mes,Grupo_fabricante/Offshore,Fabricante/Offshore,Timbres,Estado,Documento_Imp.,Cantidad_320,Cantidad_-1
0,6425,2018,1,5406,1500,1345,1,1,1,112,69,69,1126,1993,1227,1240,240.0,3872,6659.6,51611.9,27.7483333333333,2018-11-30,291,9,28,135.0,Líquido,1,240.0,240.0
1,6425,2018,4,5406,1500,227,109,108,4,108,238,238,148,1993,1058,177,16000.0,3872,48000.0,355968.0,3.0,2018-05-22,818,373,35,486.0,Líquido,1,16000.0,16000.0
2,6425,2018,4,5406,1500,227,109,108,4,108,238,238,20,1993,1058,177,10000.0,3872,30000.0,222480.0,3.0,2018-05-22,818,373,35,353.0,Líquido,1,10000.0,10000.0
3,6425,2018,5,5406,1500,227,109,108,5,108,64,64,1126,1993,399,1240,200.0,3872,706.0,5299.17,3.53,2018-08-27,592,63,44,30.0,Líquido,1,200.0,200.0
4,6425,2018,5,5406,1500,227,109,108,5,108,64,64,1126,1993,399,1240,2025.0,3872,6561.0,49246.28,3.24,2018-08-27,592,63,44,130.0,Líquido,1,2025.0,2025.0
5,6425,2018,5,5406,1500,227,109,108,5,108,64,64,1126,1993,399,1240,2870.0,3872,9256.6,69479.21,3.2252961672473868,2018-08-27,592,63,44,170.0,Líquido,1,2870.0,2870.0
6,6425,2018,5,5406,1500,227,109,108,5,108,64,64,1126,1993,399,1240,4650.0,3872,14467.5,108591.75,3.111290322580645,2018-08-27,592,63,44,240.0,Líquido,1,4650.0,4650.0
7,6425,2018,4,5406,1500,227,109,108,4,188,64,64,1126,1993,399,1240,200.0,3872,644.0,4833.81,3.22,2018-08-27,592,63,44,25.0,Líquido,1,200.0,200.0
8,6425,2018,4,5406,1500,227,109,108,4,188,64,64,1126,1993,399,1240,915.0,3872,2785.82,20910.11,3.044612021857924,2018-08-31,592,63,44,75.0,Líquido,1,915.0,915.0
9,6425,2018,4,5406,1500,227,109,108,4,1,64,64,1126,1993,399,1240,1160.0,3872,3564.98,26758.42,3.0732586206896553,2018-08-31,592,63,44,85.0,Líquido,1,1160.0,1160.0
10,6425,2018,26,669,1500,227,109,108,57,160,371,231,244,3798,1058,256,54000.0,2485,167940.0,1243340.43,3.11,2018-04-06,611,313,311,1154.0,Sólido,1,54000.0,54000.0
11,6425,2018,26,669,1500,227,109,108,57,160,371,231,244,3798,1058,256,72000.0,2485,192960.0,1428575.5,2.68,2018-04-06,611,313,311,1173.0,Sólido,1,72000.0,72000.0
12,6425,2018,26,669,1500,227,109,108,57,160,371,231,244,3798,1058,256,72000.0,2485,192960.0,1427732.27,2.68,2018-04-11,611,313,311,1173.0,Sólido,1,72000.0,72000.0
13,6425,2018,26,669,1500,227,109,108,57,160,371,231,244,3798,1058,256,126000.0,2485,430920.0,3322375.96,3.42,2018-12-06,312,313,311,1362.0,Sólido,1,126000.0,126000.0
14,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,60000.0,2485,201000.0,1487590.95,3.35,2018-04-18,611,231,188,1179.0,Sólido,1,60000.0,60000.0
15,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,40000.0,2485,134000.0,991569.18,3.35,2018-04-23,611,231,188,1122.0,Sólido,1,40000.0,40000.0
16,6425,2018,5,669,1500,227,109,108,57,35,275,275,1264,3798,339,256,60000.0,2485,165600.0,1216176.34,2.76,2018-01-12,695,231,188,1152.0,Sólido,1,60000.0,60000.0
17,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,80000.0,2485,227200.0,1668570.43,2.84,2018-01-12,695,231,188,1197.0,Sólido,1,80000.0,80000.0
18,6425,2018,5,669,1500,227,109,108,57,35,275,275,1264,3798,339,256,40000.0,2485,110400.0,810784.22,2.76,2018-01-16,695,231,188,941.0,Sólido,1,40000.0,40000.0
19,6425,2018,5,669,1500,227,109,108,57,35,275,275,1264,3798,339,256,60000.0,2485,165600.0,1216724.47,2.76,2018-02-07,579,231,188,1152.0,Sólido,1,60000.0,60000.0
20,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,44000.0,2485,136840.0,1005414.11,3.11,2018-02-13,579,231,188,1131.0,Sólido,1,44000.0,44000.0
21,6425,2018,5,669,1500,227,109,108,57,35,275,275,1264,3798,339,256,40000.0,2485,110400.0,812300.02,2.76,2018-02-14,579,231,188,943.0,Sólido,1,40000.0,40000.0
22,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,60000.0,2485,210600.0,1578206.92,3.51,2018-07-04,705,231,188,1188.0,Sólido,1,60000.0,60000.0
23,6425,2018,5,669,1500,227,109,108,57,35,275,275,1264,3798,339,256,40000.0,2485,136800.0,1023603.26,3.42,2018-06-21,616,231,188,1132.0,Sólido,1,40000.0,40000.0
24,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,50000.0,2485,168000.0,1243310.88,3.36,2018-03-20,513,231,188,1154.0,Sólido,1,50000.0,50000.0
25,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,50000.0,2485,168000.0,1243310.88,3.36,2018-03-20,513,231,188,1154.0,Sólido,1,50000.0,50000.0
26,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,20000.0,2485,67000.0,496824.43,3.35,2018-05-09,818,231,188,627.0,Sólido,1,20000.0,20000.0
27,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,60000.0,2485,195000.0,1447514.25,3.25,2018-05-16,818,231,188,1175.0,Sólido,1,60000.0,60000.0
28,6425,2018,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,60000.0,2485,195000.0,1457168.7,3.25,2018-05-31,818,231,188,1176.0,Sólido,1,60000.0,60000.0
29,6425,2018,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,972,36000.0,2485,130680.0,978676.89,3.63,2018-08-22,592,313,311,1108.0,Sólido,1,36000.0,36000.0
30,6425,2018,5,669,1500,227,109,108,57,160,371,231,1264,3798,1058,660,21700.0,2485,77686.0,600542.3,3.58,2018-12-14,312,313,311,730.0,Sólido,1,21700.0,21700.0
31,6425,2018,5,669,1500,227,109,108,57,160,371,231,1264,3798,1058,660,21700.0,2485,78337.0,605574.78,3.61,2018-12-14,312,313,311,735.0,Sólido,1,21700.0,21700.0
32,6425,2018,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,972,20000.0,2485,66800.0,499418.18,3.34,2018-07-25,705,313,311,630.0,Sólido,1,20000.0,20000.0
33,6425,2018,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,256,72000.0,2485,192960.0,1427849.97,2.68,2018-03-23,513,313,311,1173.0,Sólido,1,72000.0,72000.0
34,6425,2018,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,972,60000.0,2485,180600.0,1337303.27,3.01,2018-05-02,818,313,311,1164.0,Sólido,1,60000.0,60000.0
35,6425,2018,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,972,192000.0,2485,576000.0,4265153.28,3.0,2018-05-02,818,313,311,1456.0,Sólido,1,192000.0,192000.0
36,6425,2018,5,669,1500,227,109,108,57,160,371,231,1264,3798,1058,660,86800.0,2485,313348.0,2412867.34,3.61,2018-11-30,291,313,311,1271.0,Sólido,1,86800.0,86800.0
37,6425,2018,2,5406,1500,227,109,108,2,350,20,20,1264,3798,1058,972,1240.0,2485,5580.0,41812.39,4.5,2018-07-06,705,373,253,115.0,Sólido,1,1240.0,1240.0
38,6425,2018,2,5406,1500,227,109,108,2,350,20,20,1264,3798,1058,972,1260.0,2485,5670.0,42486.78,4.5,2018-07-06,705,373,253,115.0,Sólido,1,1260.0,1260.0
39,6425,2018,8,669,1500,227,109,108,57,160,63,63,1264,3798,1058,972,17000.0,2485,45730.0,340688.5,2.69,2018-04-25,611,373,253,471.0,Sólido,1,17000.0,17000.0
40,6425,2018,8,669,1500,227,109,108,57,160,63,63,1264,3798,1058,972,17000.0,2485,45730.0,340688.5,2.69,2018-04-25,611,373,253,471.0,Sólido,1,17000.0,17000.0
41,6425,2018,8,669,1500,227,109,108,57,160,63,63,1264,3798,1058,972,20000.0,2485,69000.0,534750.0,3.45,2018-12-18,312,373,253,665.0,Sólido,1,20000.0,20000.0
42,6425,2018,1,669,1500,227,109,108,57,160,238,238,1264,3798,1058,972,18000.0,2485,37980.0,279518.75,2.11,2018-02-27,579,373,253,410.0,Sólido,1,18000.0,18000.0
43,6425,2018,4,5406,1500,227,109,108,4,108,238,238,1264,3798,1058,972,3024.0,3872,11309.76,84639.53,3.74,2018-06-18,616,373,253,200.0,Líquido,1,3024.0,3024.0
44,6425,2018,4,5406,1500,227,109,108,4,108,238,238,1264,3798,1058,972,4000.0,3872,12240.0,91601.22,3.06,2018-06-18,616,373,253,214.0,Líquido,1,4000.0,4000.0
45,6425,2018,1,5406,1500,227,109,108,3,108,669,32,1264,3798,1058,972,8000.0,3872,25600.0,191563.52,3.2,2018-06-07,616,373,253,322.0,Líquido,1,8000.0,8000.0
46,6425,2018,1,669,1500,227,109,108,57,77,546,546,2290,3798,1,1,60000.0,2485,158516.09,1163482.74,2.6419348333333335,2018-01-23,695,100,1,1146.0,Sólido,1,60000.0,60000.0
47,6425,2018,26,669,1500,227,109,108,57,160,371,231,2290,3798,1058,256,54000.0,2485,180900.0,1394731.76,3.35,2018-12-06,312,313,311,1169.0,Sólido,1,54000.0,54000.0
48,6425,2018,26,669,1500,227,109,108,57,160,371,231,2290,3798,1058,256,54000.0,2485,180900.0,1400428.31,3.35,2018-12-21,312,313,311,1170.0,Sólido,1,54000.0,54000.0
49,6425,2018,26,669,1500,227,109,108,57,160,371,231,2290,3798,1058,256,54000.0,2485,167940.0,1257507.85,3.11,2018-07-09,705,313,311,1156.0,Sólido,1,54000.0,54000.0
50,6425,2018,26,669,1500,227,109,108,57,160,371,231,2290,3798,1058,256,54000.0,2485,167940.0,1246287.78,3.11,2018-05-10,818,313,311,1155.0,Sólido,1,54000.0,54000.0
51,6425,2018,26,669,1500,227,109,108,57,160,371,231,2290,3798,1058,972,54000.0,2485,167940.0,1246287.78,3.11,2018-05-10,818,313,311,1155.0,Sólido,1,54000.0,54000.0
52,6425,2018,26,669,1500,227,109,108,57,160,371,231,2290,3798,1058,256,72000.0,2485,192960.0,1440654.8,2.68,2018-05-29,818,313,311,1174.0,Sólido,1,72000.0,72000.0
53,6425,2018,7,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,2485,48672.0,363984.3,3.38,2018-07-18,705,476,267,494.0,Sólido,1,14400.0,14400.0
54,6425,2018,7,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,435261.45,3.91,2018-12-13,312,476,267,565.0,Líquido,1,14400.0,14400.0
55,6425,2018,7,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,44064.0,323401.12,3.06,2018-01-16,695,476,267,453.0,Líquido,1,14400.0,14400.0
56,6425,2018,7,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,48672.0,364249.57,3.38,2018-06-18,616,476,267,494.0,Líquido,1,14400.0,14400.0
57,6425,2018,7,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,44064.0,325563.34,3.06,2018-03-13,513,476,267,455.0,Líquido,1,14400.0,14400.0
58,6425,2018,7,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,434473.19,3.91,2018-11-06,291,476,267,565.0,Líquido,1,14400.0,14400.0
59,6425,2018,1,279,1500,227,109,1,1,5,890,789,633,634,1227,39,19.2,2485,619.5,4548.07,32.265625,2018-01-11,695,1074,4,125.0,Sólido,1,19.2,19.2
60,6425,2019,5,5406,1500,227,109,108,5,108,64,64,1126,1993,399,1240,5207.0,3872,18871.62,144496.79,3.624278855386979,2019-05-03,818,63,19,275.0,Líquido,1,5207.0,5207.0
61,6425,2019,4,5406,1500,227,109,108,4,188,64,64,1126,1993,399,1240,11500.0,3872,37277.2,285425.18,3.2414956521739127,2019-05-14,818,63,19,420.0,Líquido,1,11500.0,11500.0
62,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,20000.0,2485,67200.0,514621.63,3.36,2019-04-11,611,231,30,645.0,Sólido,1,20000.0,20000.0
63,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,20000.0,2485,67200.0,514621.63,3.36,2019-04-11,611,231,30,645.0,Sólido,1,20000.0,20000.0
